type,colnum,RMSE
TIGANCN,1000,0.09170003107735028
TIGANGE,1000,0.09298359679246863
TIGANCON,1000,0.09217149339006744
TIGANCN,2000,0.09074577459447468
TIGANGE,2000,0.09233647073470816
TIGANCON,2000,0.09090607300807207
TIGANCN,5000,0.4424472166597538
TIGANGE,5000,0.4504075540988421
TIGANCON,5000,0.4417079000427323
GAIN,1000,0.09508914831827492
GAIN,2000,0.09270570849542717
GAIN,5000,0.44815829684554537
TIGANCN,1000,0.09632376928793533
TIGANGE,1000,0.09644035897318473
TIGANCON,1000,0.09272618505053012
TIGANCN,2000,0.09291062831100404
TIGANGE,2000,0.09295291053703356
TIGANCON,2000,0.09092779661515404
TIGANCN,5000,0.4445949914798398
TIGANGE,5000,0.4444974593555325
TIGANCON,5000,0.4466026363567291
GAIN,1000,0.09618870236332766
GAIN,2000,0.09320698231916544
GAIN,5000,0.4505645622233133
TIGANCN,1000,0.09352692028660373
TIGANGE,1000,0.09201615318889653
TIGANCON,1000,0.09082571613360003
TIGANCN,2000,0.09172216797649947
TIGANGE,2000,0.0924130587790702
TIGANCON,2000,0.0908238693702327
TIGANCN,5000,0.445747242814266
TIGANGE,5000,0.4462900074140005
TIGANCON,5000,0.4494147723887977
GAIN,1000,0.09307228237593984
GAIN,2000,0.0931498087096379
GAIN,5000,0.443589401213996
TIGANCN,1000,0.09358118526580204
TIGANGE,1000,0.09317613362023716
TIGANCON,1000,0.09217255951517962
TIGANCN,2000,0.09218429680513936
TIGANGE,2000,0.09183923889925397
TIGANCON,2000,0.09301644598926924
TIGANCN,5000,0.444520097476698
TIGANGE,5000,0.44603700790312334
TIGANCON,5000,0.4414619579511161
GAIN,1000,0.09565649847044794
GAIN,2000,0.09216901268660176
GAIN,5000,0.4476567037661189
TIGANCN,1000,0.09402709739094813
TIGANGE,1000,0.0922039176101356
TIGANCON,1000,0.09236905757234597
TIGANCN,2000,0.09150820660672716
TIGANGE,2000,0.0921246718299805
TIGANCON,2000,0.0908030839731652
TIGANCN,5000,0.4417170220069408
TIGANGE,5000,0.4402043660055141
TIGANCON,5000,0.4429605620108881
GAIN,1000,0.0954488733247802
GAIN,2000,0.09358826066590784
GAIN,5000,0.4454546995115191
TIGANCN,1000,0.09289683964817667
TIGANGE,1000,0.09296900534868524
TIGANCON,1000,0.09168996857341788
TIGANCN,2000,0.09051330851217076
TIGANGE,2000,0.09197556041582627
TIGANCON,2000,0.0921293823024951
TIGANCN,5000,0.4430572772092485
TIGANGE,5000,0.4454122994448609
TIGANCON,5000,0.4448511795515706
GAIN,1000,0.09467549206663904
GAIN,2000,0.09302019229060372
GAIN,5000,0.4496873764732697
TIGANCN,1000,0.09286506218251236
TIGANGE,1000,0.092823051169884
TIGANCON,1000,0.09287641772303593
TIGANCN,2000,0.09195569621902144
TIGANGE,2000,0.0926434404777656
TIGANCON,2000,0.0918886690663136
TIGANCN,5000,0.4466135781969521
TIGANGE,5000,0.4475245065325959
TIGANCON,5000,0.445514944555377
GAIN,1000,0.09558407912203627
GAIN,2000,0.09335912409586797
GAIN,5000,0.4516263294916256
TIGANCN,1000,0.09368629613684093
TIGANGE,1000,0.09448346443072878
TIGANCON,1000,0.09302396036705904
TIGANCN,2000,0.09061579772797156
TIGANGE,2000,0.09243005149899966
TIGANCON,2000,0.09181330306029513
TIGANCN,5000,0.4452957497997372
TIGANGE,5000,0.4449677848278167
TIGANCON,5000,0.43834107403582095
GAIN,1000,0.0945884176832123
GAIN,2000,0.09300709648664343
GAIN,5000,0.4440535047705145
TIGANCN,1000,0.09249669013457293
TIGANGE,1000,0.09317290850522496
TIGANCON,1000,0.09172891412227477
TIGANCN,2000,0.0924324418556251
TIGANGE,2000,0.091704789206672
TIGANCON,2000,0.09104332537786357
TIGANCN,5000,0.4479189387973746
TIGANGE,5000,0.44324661651389
TIGANCON,5000,0.4430020139312345
GAIN,1000,0.0975389851952046
GAIN,2000,0.09307025031251856
GAIN,5000,0.4454610052750689
TIGANCN,1000,0.09109992013865864
TIGANGE,1000,0.09205670326033397
TIGANCON,1000,0.09096617551924853
TIGANCN,2000,0.09201098977078608
TIGANGE,2000,0.09089039233084208
TIGANCON,2000,0.09029932761538977
TIGANCN,5000,0.4478576154550206
TIGANGE,5000,0.4486070609732412
TIGANCON,5000,0.4433675340234336
GAIN,1000,0.09372053827548653
GAIN,2000,0.09262325795634774
GAIN,5000,0.4546807640265696
