type,colnum,RMSE
TIGANCN,1000,0.1132911680351122
TIGANME,1000,0.11547563349870987
TIGANCON,1000,0.11033894032158086
TIGANCN,2000,0.10958293983474313
TIGANME,2000,0.11279146657119316
TIGANCON,2000,0.10982259831925124
TIGANCN,5000,0.44903814854742335
TIGANME,5000,0.4517022938921673
TIGANCON,5000,0.4472139745792161
GAIN,1000,0.11637370816811245
GAIN,2000,0.10885412626010643
GAIN,5000,0.4499470219249039
TIGANCN,1000,0.11401813767340792
TIGANME,1000,0.1127824566771392
TIGANCON,1000,0.11053436965331716
TIGANCN,2000,0.11041272594858363
TIGANME,2000,0.10920744104730536
TIGANCON,2000,0.10935591048192288
TIGANCN,5000,0.4488394248306027
TIGANME,5000,0.44836700864984974
TIGANCON,5000,0.4444957156592481
GAIN,1000,0.11818858069854735
GAIN,2000,0.11159764087438118
GAIN,5000,0.4514524055546508
TIGANCN,1000,0.1131390773602267
TIGANME,1000,0.1131490111163856
TIGANCON,1000,0.11112795386630983
TIGANCN,2000,0.10851790547869317
TIGANME,2000,0.1106969343041156
TIGANCON,2000,0.10989850737755978
TIGANCN,5000,0.4448708342446293
TIGANME,5000,0.4447897779614052
TIGANCON,5000,0.4481408404718785
GAIN,1000,0.1151029824782254
GAIN,2000,0.11296069283065376
GAIN,5000,0.44789976960946
TIGANCN,1000,0.1129657240665512
TIGANME,1000,0.11283070541788814
TIGANCON,1000,0.11177172915226463
TIGANCN,2000,0.11002352376997053
TIGANME,2000,0.11065043168856548
TIGANCON,2000,0.10850106453977956
TIGANCN,5000,0.4491418701423037
TIGANME,5000,0.44723481487803696
TIGANCON,5000,0.4415716416038663
GAIN,1000,0.11608093271458356
GAIN,2000,0.11109920167555516
GAIN,5000,0.4484277525217665
TIGANCN,1000,0.1121385331066556
TIGANME,1000,0.11007823653948247
TIGANCON,1000,0.1104791245465616
TIGANCN,2000,0.11040946579741197
TIGANME,2000,0.11226519551899808
TIGANCON,2000,0.10754220530308344
TIGANCN,5000,0.44644203026657264
TIGANME,5000,0.4512040779729061
TIGANCON,5000,0.4469707980734433
GAIN,1000,0.11737521483113993
GAIN,2000,0.11107242268615793
GAIN,5000,0.4531799808331257
TIGANCN,1000,0.10906526240617988
TIGANME,1000,0.11264649010191985
TIGANCON,1000,0.11138479094930416
TIGANCN,2000,0.1105773915616166
TIGANME,2000,0.11117105499396147
TIGANCON,2000,0.10695662228859296
TIGANCN,5000,0.44786861965767866
TIGANME,5000,0.4473206141491544
TIGANCON,5000,0.4439598062639353
GAIN,1000,0.11557281744011914
GAIN,2000,0.11239167399587807
GAIN,5000,0.4485963141489636
TIGANCN,1000,0.1118325663137618
TIGANME,1000,0.11354774972836068
TIGANCON,1000,0.11057748412441347
TIGANCN,2000,0.11009046391138297
TIGANME,2000,0.1089417075970852
TIGANCON,2000,0.1109569166246407
TIGANCN,5000,0.4484319701713793
TIGANME,5000,0.4485698338048382
TIGANCON,5000,0.4481792872235924
GAIN,1000,0.11715242020400325
GAIN,2000,0.11178348100955766
GAIN,5000,0.4512883314536698
TIGANCN,1000,0.11211160419250367
TIGANME,1000,0.11077728089130093
TIGANCON,1000,0.11115809134217153
TIGANCN,2000,0.11051932923756187
TIGANME,2000,0.11077943176881316
TIGANCON,2000,0.1102783106409942
TIGANCN,5000,0.4461470268925478
TIGANME,5000,0.44919351146745534
TIGANCON,5000,0.4478726640675213
GAIN,1000,0.1136894351778032
GAIN,2000,0.11207478411343172
GAIN,5000,0.4472986463916023
TIGANCN,1000,0.11068514437909176
TIGANME,1000,0.11368951393208833
TIGANCON,1000,0.11023817439027232
TIGANCN,2000,0.10874520259829767
TIGANME,2000,0.1096613141428442
TIGANCON,2000,0.10997977840578252
TIGANCN,5000,0.445315901900556
TIGANME,5000,0.448415402524035
TIGANCON,5000,0.4449697219777212
GAIN,1000,0.115659992426182
GAIN,2000,0.11191523249651997
GAIN,5000,0.4530375761857053
TIGANCN,1000,0.11223145658100596
TIGANME,1000,0.10983586467800616
TIGANCON,1000,0.11021244065448448
TIGANCN,2000,0.10957857673283357
TIGANME,2000,0.11159429257356657
TIGANCON,2000,0.10959881225469276
TIGANCN,5000,0.4501882486870217
TIGANME,5000,0.4468739439583848
TIGANCON,5000,0.4494489265063489
GAIN,1000,0.11246023680047697
GAIN,2000,0.11078742426239853
GAIN,5000,0.4469891772851045
